transaction_id,timestamp,amount,merchant,mcc,device_type,latitude,longitude,merchant_risk_level,device_risk_level,hour,day_of_week,month,is_weekend,is_business_hours,anomaly_type,risk_score,is_fraud
TXN00025258,2025-07-04 09:53:00,17.34,Target,5411,android-13,26.505234128063144,-90.04893611695879,low,medium,9,4,7,0,1,normal,21.89,0
TXN00003293,2025-01-24 17:02:00,57.56,McDonalds,5814,android-12,42.343599366331546,-97.78221703836607,low,medium,17,4,1,0,1,normal,24.66,0
TXN00039537,2025-10-16 11:11:00,463.11,Casino,7990,ios-16.1,37.819217137203935,-107.97924505678996,high,low,11,3,10,0,1,normal,59.52,0
TXN00022937,2025-06-17 09:02:00,61.22,GasStation,5541,android-12,40.07902098399926,-84.92367023123207,medium,medium,9,1,6,0,1,normal,31.81,0
TXN00023964,2025-06-24 16:23:00,446.54,BestBuy,5732,ios-15.2,44.51030104343105,-91.94952575775676,medium,low,16,1,6,0,1,normal,51.49,0
TXN00049977,2025-12-31 19:54:00,7.19,Starbucks,5814,web-chrome,35.615346201475575,-100.32138664224988,low,high,19,2,12,0,0,normal,41.88,0
TXN00008088,2025-02-28 14:01:00,48.18,McDonalds,5814,mobile-web,27.287006721624564,-91.21933162671897,low,high,14,4,2,0,1,normal,30.91,0
TXN00008992,2025-03-06 23:04:00,535.42,Electronics,5732,web-safari,47.98726182450247,-86.57428548822278,medium,medium,23,3,3,0,0,normal,75.86,1
TXN00046713,2025-12-07 11:57:00,85.29,GroceryStore,5411,web-safari,25.48979513532275,-111.62480307090675,low,medium,11,6,12,1,1,normal,36.92,0
TXN00004841,2025-02-05 10:38:00,1320.77,JewelryStore,5944,mobile-web,45.96583398731471,-110.93916416815539,high,high,10,2,2,0,1,normal,75.86,1
TXN00043164,2025-11-11 13:32:00,2.57,GroceryStore,5411,ios-15.2,37.428573278674804,-67.22616855303201,low,low,13,1,11,0,1,normal,13.97,0
TXN00002129,2025-01-16 12:41:00,35.72,GasStation,5541,android-13,25.083828895200465,-121.93810177387152,medium,medium,12,3,1,0,1,normal,30.05,0
TXN00037066,2025-09-28 14:48:00,37.4,Shell,5541,ios-15.2,38.12267950876458,-91.90040099378355,medium,low,14,6,9,1,1,normal,33.61,0
